id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15581229.0,Ch'in,597.0,France,Male,45.0,7.0,0.0,1.0,1.0,1.0,72643.95,1.0
1,15808674.0,Li Fonti,738.0,Spain,Female,28.0,1.0,0.0,2.0,1.0,0.0,96885.19,0.0
2,15601796.0,Udinese,705.0,France,Male,47.0,7.0,69311.16,1.0,0.0,1.0,123866.43,0.0
3,15583724.0,Hsing,681.0,Germany,Female,51.0,4.0,181110.13,1.0,1.0,0.0,103560.98,1.0
4,15696826.0,Hsiung,479.0,Germany,Male,31.0,6.0,133043.66,2.0,1.0,0.0,61936.22,0.0
5,15658548.0,Baresi,714.0,France,Male,30.0,6.0,0.0,2.0,0.0,0.0,125962.02,0.0
6,15727251.0,Okwudilichukwu,691.0,Germany,Male,28.0,5.0,139106.19,2.0,1.0,1.0,131363.57,0.0
7,15636353.0,Ponomaryov,567.0,Spain,Male,41.0,3.0,0.0,1.0,1.0,0.0,131718.12,1.0
8,15728773.0,Ch'in,611.0,France,Male,46.0,10.0,0.0,2.0,1.0,1.0,179833.45,0.0
9,15682048.0,Hsing,645.0,France,Male,34.0,4.0,0.0,2.0,0.0,0.0,157921.25,0.0
10,15735330.0,Hargreaves,526.0,France,Female,41.0,7.0,0.0,2.0,0.0,1.0,112010.02,0.0
11,15623346.0,Tsou,729.0,France,Male,37.0,9.0,122314.5,1.0,1.0,0.0,73853.97,0.0
12,15792360.0,L?,596.0,Germany,Female,54.0,9.0,109730.22,1.0,1.0,0.0,148087.62,1.0
13,15641411.0,Onyekaozulu,718.0,Germany,Female,38.0,1.0,145984.92,1.0,1.0,1.0,52327.57,0.0
14,15605968.0,Ch'iu,783.0,France,Male,49.0,5.0,142641.36,1.0,1.0,0.0,175479.92,1.0
15,15576644.0,Liao,690.0,France,Female,69.0,1.0,0.0,2.0,1.0,1.0,144880.69,0.0
16,15783341.0,Trevisani,674.0,Spain,Male,44.0,5.0,0.0,2.0,1.0,1.0,129890.94,0.0
17,15681550.0,McLean,671.0,France,Male,31.0,4.0,0.0,2.0,1.0,1.0,109659.12,0.0
